,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,shimoda,JP,34.67,138.95,73.0,96,89,9.26,1599419377
1,georgetown,MY,5.41,100.34,80.6,83,20,1.01,1599419120
2,albany,US,42.6,-73.97,78.01,40,18,1.16,1599419378
3,sao filipe,IN,20.51,76.21,77.41,80,4,1.97,1599419378
4,jamestown,US,42.1,-79.24,73.0,52,1,2.13,1599419079
5,hilo,US,19.73,-155.09,80.6,61,20,3.36,1599419378
6,yellowknife,CA,62.46,-114.35,46.0,56,75,2.24,1599419275
7,alyangula,AU,-13.85,136.42,64.4,93,0,11.12,1599419201
8,victoria,HK,22.29,114.16,82.0,88,34,8.01,1599419324
9,port elizabeth,CD,-7.03,29.76,78.06,40,59,5.95,1599419379
10,praia da vitoria,CV,14.92,-23.51,86.0,66,20,4.7,1599419379
11,kapaa,US,22.08,-159.32,81.0,69,40,12.75,1599419379
12,rikitea,PF,-23.12,-134.97,72.84,82,0,15.73,1599419379
13,airai,TL,-8.93,125.41,55.65,42,26,2.73,1599419379
14,hovd,MN,48.01,91.64,58.37,44,100,7.63,1599419227
15,barrow,US,71.29,-156.79,37.4,93,90,11.41,1599419380
16,kruisfontein,ZA,-34.0,24.73,54.0,91,0,1.23,1599419380
17,bluff,NZ,-46.6,168.33,45.0,72,98,11.01,1599419380
18,busselton,AU,-33.65,115.33,54.0,53,0,20.15,1599419380
19,sioux lookout,US,42.73,-96.23,90.0,38,1,8.05,1599419381
20,narsaq,GL,60.92,-46.05,46.4,87,75,5.82,1599419381
21,pevek,RU,69.7,170.31,38.75,78,0,15.35,1599419381
22,vaini,TO,-21.2,-175.2,71.6,68,75,10.29,1599419382
23,bredasdorp,ZA,-34.53,20.04,53.6,87,45,5.82,1599419382
24,petropavlovsk-kamchatskiy,RU,53.05,158.65,51.8,100,90,4.47,1599419382
25,batagay,RU,67.63,134.63,45.0,86,100,8.39,1599419382
26,ushuaia,AR,-54.8,-68.3,41.0,80,75,17.22,1599419382
27,cape town,CL,-36.41,-71.9,64.4,52,86,9.17,1599419383
28,cherskiy,RU,68.75,161.3,40.19,69,100,11.88,1599419383
29,siderno,IT,38.28,16.3,77.0,69,25,4.7,1599419383
30,bengkulu,ID,-3.8,102.27,75.87,90,63,7.47,1599419383
31,kavieng,PG,-2.57,150.8,82.69,77,100,11.43,1599419383
32,nikolskoye,RU,59.7,30.79,57.0,82,0,2.24,1599419384
33,maputo,MZ,-25.97,32.59,68.0,72,20,6.93,1599419288
34,hermanus,ZA,-34.42,19.23,55.99,79,0,1.99,1599419384
35,camocim,BR,-2.9,-40.84,86.99,49,84,16.08,1599419384
36,ust-maya,RU,60.42,134.53,49.62,96,100,4.29,1599419384
37,coihaique,CL,-45.58,-72.07,53.6,54,75,5.82,1599419385
38,salinas,US,36.68,-121.66,100.99,42,1,4.7,1599419385
39,souillac,MU,-20.52,57.52,71.6,78,40,8.05,1599419385
40,longyearbyen,SJ,78.22,15.64,42.8,81,75,4.7,1599419385
41,tanout,NE,14.97,8.89,88.05,47,47,13.04,1599419386
42,garissa,KE,-0.45,39.64,76.23,58,19,19.91,1599419386
43,hithadhoo,MV,-0.6,73.08,82.09,76,100,10.76,1599419386
44,portland,US,45.52,-122.68,75.99,60,1,4.18,1599418940
45,bethel,US,41.37,-73.41,79.0,50,20,5.82,1599419386
46,okitipupa,NG,6.5,4.78,73.51,90,100,3.47,1599419387
47,richards bay,US,46.84,-95.91,73.4,46,1,21.92,1599419387
48,dikson,RU,73.51,80.55,41.92,80,0,17.96,1599419387
49,kodiak,US,57.79,-152.41,53.6,93,90,20.8,1599419387
50,miandrivazo,MG,-19.52,45.47,71.96,54,52,0.92,1599419229
51,punta arenas,PH,8.99,125.34,78.1,82,98,3.56,1599419390
52,ostrovnoy,RU,68.05,39.51,53.13,85,1,16.51,1599419390
53,caraquet,CA,47.79,-64.94,69.8,37,40,13.87,1599419390
54,clyde river,US,41.3,-82.98,73.0,64,100,7.9,1599419390
55,chupa,RU,66.27,33.05,53.02,84,100,6.15,1599419391
56,chicama,PE,-7.84,-79.15,72.9,52,8,11.12,1599419100
57,qaanaaq,GL,77.48,-69.36,29.43,83,0,1.03,1599419391
58,port pirie,CD,-7.03,29.76,78.06,40,59,5.95,1599419391
59,faya,SA,18.39,42.45,77.0,16,0,11.41,1599419391
60,biak,ID,-0.91,122.88,76.24,84,100,8.03,1599419392
61,pacific grove,US,38.48,-90.74,89.01,62,17,1.01,1599419392
62,mackay,AU,-21.15,149.2,69.8,77,40,13.87,1599419392
63,iqaluit,CA,63.75,-68.51,51.8,40,75,11.41,1599419392
64,kahului,US,20.89,-156.47,80.6,61,40,14.99,1599419393
65,starkville,US,33.45,-88.82,93.99,29,1,5.44,1599419368
66,adrar,MR,20.5,-10.07,91.08,39,73,16.31,1599419393
67,bambous virieux,MU,-20.26,57.41,72.0,78,40,8.05,1599419393
68,buribay,RU,51.96,58.16,52.61,71,49,7.02,1599419393
69,yakeshi,CN,49.28,120.73,49.96,89,0,1.36,1599419393
70,chokurdakh,RU,70.63,147.92,36.72,81,44,7.07,1599419394
71,opuwo,NA,-18.06,13.84,70.07,27,0,1.05,1599419394
72,winona,US,43.97,-91.77,77.0,69,75,5.82,1599419394
73,lao cai,PH,11.02,124.56,79.36,77,41,2.15,1599419394
74,ghansor,IN,22.65,79.95,75.06,84,0,1.7,1599419177
75,rio hato,GR,38.3,21.78,75.2,69,0,2.98,1599419395
76,buala,SB,-8.14,159.59,80.33,79,96,6.31,1599419395
77,new norfolk,LR,6.65,-10.59,78.8,94,75,9.17,1599419395
78,grand river south east,US,38.88,-109.5,89.6,8,1,3.36,1599419395
79,luderitz,NA,-26.65,15.16,62.53,60,0,23.15,1599419395
80,khatanga,RU,71.97,102.5,39.07,79,1,4.68,1599419396
81,tasiilaq,GL,65.61,-37.64,39.2,93,94,10.29,1599419396
82,soma,TR,39.19,27.61,78.8,47,5,16.11,1599419396
83,lazaro cardenas,DO,19.46,-71.33,93.99,55,100,8.01,1599419396
